STN,YYYYMMDD,TG,SQ,Q,date,day_nr
380,20010101,500,0,690000,2001-01-01,1
380,20010102,920,38,2950000,2001-01-02,2
380,20010103,670,19,2550000,2001-01-03,3
380,20010104,790,2,1410000,2001-01-04,4
380,20010105,830,0,410000,2001-01-05,5
380,20010106,600,5,860000,2001-01-06,6
380,20010107,500,10,1720000,2001-01-07,7
380,20010108,380,32,3160000,2001-01-08,8
380,20010109,380,4,1970000,2001-01-09,9
380,20010110,210,0,1060000,2001-01-10,10
380,20010111,250,2,1130000,2001-01-11,11
380,20010112,30,72,4960000,2001-01-12,12
380,20010113,-80,72,5230000,2001-01-13,13
380,20010114,-160,71,5750000,2001-01-14,14
380,20010115,-170,75,5290000,2001-01-15,15
380,20010116,-290,73,5030000,2001-01-16,16
380,20010117,-370,70,5010000,2001-01-17,17
380,20010118,110,5,2210000,2001-01-18,18
380,20010119,130,0,2200000,2001-01-19,19
380,20010120,0,6,1700000,2001-01-20,20
380,20010121,-30,41,3950000,2001-01-21,21
380,20010122,660,3,1480000,2001-01-22,22
380,20010123,860,17,3030000,2001-01-23,23
380,20010124,860,7,2410000,2001-01-24,24
380,20010125,610,0,1480000,2001-01-25,25
380,20010126,500,10,2550000,2001-01-26,26
380,20010127,390,9,1430000,2001-01-27,27
380,20010128,290,60,5380000,2001-01-28,28
380,20010129,290,12,2350000,2001-01-29,29
380,20010130,140,12,2790000,2001-01-30,30
380,20010131,170,13,3290000,2001-01-31,31
380,20010201,-70,17,3670000,2001-02-01,32
380,20010202,20,0,1530000,2001-02-02,33
380,20010203,410,0,980000,2001-02-03,34
380,20010204,700,0,980000,2001-02-04,35
380,20010205,920,5,2580000,2001-02-05,36
380,20010206,1090,0,1860000,2001-02-06,37
380,20010207,980,21,4170000,2001-02-07,38
380,20010208,1040,40,5350000,2001-02-08,39
380,20010209,360,40,6960000,2001-02-09,40
380,20010210,290,44,5450000,2001-02-10,41
380,20010211,910,19,3320000,2001-02-11,42
380,20010212,1090,12,4480000,2001-02-12,43
380,20010213,540,20,3530000,2001-02-13,44
380,20010214,360,44,5970000,2001-02-14,45
380,20010215,570,90,9120000,2001-02-15,46
380,20010216,350,50,5730000,2001-02-16,47
380,20010217,360,0,1210000,2001-02-17,48
380,20010218,210,3,2790000,2001-02-18,49
380,20010219,380,24,4070000,2001-02-19,50
380,20010220,480,14,4730000,2001-02-20,51
380,20010221,520,0,1340000,2001-02-21,52
380,20010222,510,17,4380000,2001-02-22,53
380,20010223,220,40,6990000,2001-02-23,54
380,20010224,-80,48,7610000,2001-02-24,55
380,20010225,-90,76,11730000,2001-02-25,56
380,20010226,80,45,8320000,2001-02-26,57
380,20010227,200,35,6220000,2001-02-27,58
380,20010228,420,58,7820000,2001-02-28,59
380,20010301,250,16,5470000,2001-03-01,60
380,20010302,190,32,6690000,2001-03-02,61
380,20010303,-10,0,2670000,2001-03-03,62
380,20010304,130,0,3220000,2001-03-04,63
380,20010305,200,9,5140000,2001-03-05,64
380,20010306,410,101,13140000,2001-03-06,65
380,20010307,920,20,6620000,2001-03-07,66
380,20010308,960,4,2580000,2001-03-08,67
380,20010309,990,14,5500000,2001-03-09,68
380,20010310,1050,3,3950000,2001-03-10,69
380,20010311,1190,6,4170000,2001-03-11,70
380,20010312,870,35,7360000,2001-03-12,71
380,20010313,570,23,5530000,2001-03-13,72
380,20010314,610,46,8590000,2001-03-14,73
380,20010315,740,6,6240000,2001-03-15,74
380,20010316,960,24,8010000,2001-03-16,75
380,20010317,700,0,3610000,2001-03-17,76
380,20010318,780,7,3800000,2001-03-18,77
380,20010319,270,32,8110000,2001-03-19,78
380,20010320,190,31,8900000,2001-03-20,79
380,20010321,520,4,3350000,2001-03-21,80
380,20010322,710,1,4050000,2001-03-22,81
380,20010323,1020,14,3470000,2001-03-23,82
380,20010324,920,8,6680000,2001-03-24,83
380,20010325,300,0,1370000,2001-03-25,84
380,20010326,240,0,3620000,2001-03-26,85
380,20010327,420,39,11070000,2001-03-27,86
380,20010328,810,48,12150000,2001-03-28,87
380,20010329,640,17,6790000,2001-03-29,88
380,20010330,670,25,8320000,2001-03-30,89
380,20010331,960,54,11820000,2001-03-31,90
380,20010401,1270,76,15170000,2001-04-01,91
380,20010402,1540,118,19590000,2001-04-02,92
380,20010403,1220,31,9490000,2001-04-03,93
380,20010404,910,25,8030000,2001-04-04,94
380,20010405,730,37,9850000,2001-04-05,95
380,20010406,1120,11,7790000,2001-04-06,96
380,20010407,890,57,12090000,2001-04-07,97
380,20010408,740,16,8200000,2001-04-08,98
380,20010409,850,0,4970000,2001-04-09,99
380,20010410,840,17,7410000,2001-04-10,100
380,20010411,780,0,4410000,2001-04-11,101
380,20010412,500,28,9610000,2001-04-12,102
380,20010413,290,16,9690000,2001-04-13,103
380,20010414,170,61,15330000,2001-04-14,104
380,20010415,740,22,8350000,2001-04-15,105
380,20010416,640,27,10480000,2001-04-16,106
380,20010417,610,10,8800000,2001-04-17,107
380,20010418,470,40,11160000,2001-04-18,108
380,20010419,320,60,15240000,2001-04-19,109
380,20010420,360,32,13460000,2001-04-20,110
380,20010421,510,50,15160000,2001-04-21,111
380,20010422,690,93,21810000,2001-04-22,112
380,20010423,890,20,11460000,2001-04-23,113
380,20010424,1020,51,13940000,2001-04-24,114
380,20010425,1030,26,9770000,2001-04-25,115
380,20010426,1010,48,12740000,2001-04-26,116
380,20010427,940,0,7060000,2001-04-27,117
380,20010428,1090,40,12680000,2001-04-28,118
380,20010429,1200,37,15070000,2001-04-29,119
380,20010430,1490,49,17410000,2001-04-30,120
380,20010501,1310,3,6830000,2001-05-01,121
380,20010502,1530,82,20720000,2001-05-02,122
380,20010503,1560,48,15190000,2001-05-03,123
380,20010504,910,0,2470000,2001-05-04,124
380,20010505,840,27,15660000,2001-05-05,125
380,20010506,930,37,14660000,2001-05-06,126
380,20010507,1230,79,23570000,2001-05-07,127
380,20010508,1150,31,14850000,2001-05-08,128
380,20010509,1680,133,25600000,2001-05-09,129
380,20010510,1910,140,27050000,2001-05-10,130
380,20010511,1880,128,26970000,2001-05-11,131
380,20010512,1860,140,27200000,2001-05-12,132
380,20010513,1930,133,25880000,2001-05-13,133
380,20010514,1460,25,12600000,2001-05-14,134
380,20010515,1450,107,23980000,2001-05-15,135
380,20010516,1370,67,14640000,2001-05-16,136
380,20010517,1310,71,18250000,2001-05-17,137
380,20010518,1040,2,4580000,2001-05-18,138
380,20010519,1250,52,15550000,2001-05-19,139
380,20010520,1250,137,27900000,2001-05-20,140
380,20010521,1320,128,27100000,2001-05-21,141
380,20010522,1370,143,28180000,2001-05-22,142
380,20010523,1680,146,28590000,2001-05-23,143
380,20010524,1860,144,28010000,2001-05-24,144
380,20010525,1660,110,27420000,2001-05-25,145
